entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,payment_id,settlement_utr,order_id,order_receipt
pay_PC0001,payment,0,80896,80896,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0001,receipt_0001
pay_PC0002,payment,0,77882,77882,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0002,receipt_0002
pay_PC0003,payment,0,168987,168987,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0003,receipt_0003
pay_PC0004,payment,0,107885,107885,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0004,receipt_0004
pay_PC0005,payment,0,152547,152547,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0005,receipt_0005
pay_PC0006,payment,0,213923,213923,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0006,receipt_0006
pay_PC0007,payment,0,46920,46920,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0007,receipt_0007
pay_PC0008,payment,0,148711,148711,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0008,receipt_0008
pay_PC0009,payment,0,182687,182687,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0009,receipt_0009
pay_PC0010,payment,0,216252,216252,INR,0,0,false,true,1787713200,1787724000,setl_PC001,,HDFC2608PC00001,order_PC0010,receipt_0010
pay_PC0011,payment,0,183646,183646,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0011,receipt_0011
pay_PC0012,payment,0,139395,139395,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0012,receipt_0012
pay_PC0013,payment,0,202963,202963,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0013,receipt_0013
pay_PC0014,payment,0,48838,48838,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0014,receipt_0014
pay_PC0015,payment,0,127887,127887,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0015,receipt_0015
pay_PC0016,payment,0,217211,217211,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0016,receipt_0016
pay_PC0017,payment,0,113913,113913,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0017,receipt_0017
pay_PC0018,payment,0,165562,165562,INR,0,0,false,true,1787709600,1787720400,setl_PC002,,HDFC2608PC00002,order_PC0018,receipt_0018
